Episode,Hunter Reward,Prey Reward,Hunter Wins,Prey Wins,Epsilon
1,-5.3,155.3,0,1,0.9482017988005997
2,-5.3,155.3,0,2,0.9482017988005997
3,-15.3,155.3,0,3,0.9482017988005997
4,219.7,-199.7,1,3,0.95
5,19.7,162.3,1,4,0.9482017988005997
6,207.7,-214.7,2,4,0.95
Episode,Hunter Reward,Prey Reward,Hunter Wins,Prey Wins,Epsilon
1,-15.3,155.3,0,1,0.9482017988005997
2,194.7,-207.7,1,1,0.95
Episode,Hunter Reward,Prey Reward,Hunter Wins,Prey Wins,Epsilon
1,19.7,155.3,0,1,0.9482017988005997
2,-5.3,155.3,0,2,0.9482017988005997
3,194.7,-207.7,1,2,0.95
4,-15.3,155.3,1,3,0.9482017988005997
5,-5.3,162.3,1,4,0.9482017988005997
6,207.7,-207.7,2,4,0.95
7,-5.3,155.3,2,5,0.9482017988005997
8,-5.3,170.3,2,6,0.9482017988005997
9,-5.3,155.3,2,7,0.9482017988005997
10,207.7,-199.7,3,7,0.95
11,-5.3,162.3,3,8,0.9482017988005997
12,-5.3,155.3,3,9,0.9482017988005997
13,232.7,-214.7,4,9,0.95
14,204.7,-199.7,5,9,0.95
15,219.7,-207.7,6,9,0.95
16,219.7,-214.7,7,9,0.95
17,19.7,155.3,7,10,0.9482017988005997
18,-15.3,155.3,7,11,0.9482017988005997
19,219.7,-214.7,8,11,0.95
20,194.7,-207.7,9,11,0.95
21,-15.3,155.3,9,12,0.9482017988005997
22,-5.3,162.3,9,13,0.9482017988005997
23,194.7,-189.7,10,13,0.95
24,-5.3,155.3,10,14,0.9482017988005997
25,-5.3,155.3,10,15,0.9482017988005997
26,-5.3,155.3,10,16,0.9482017988005997
27,-5.3,170.3,10,17,0.9482017988005997
28,-5.3,155.3,10,18,0.9482017988005997
29,-5.3,155.3,10,19,0.9482017988005997
30,232.7,-199.7,11,19,0.95
31,-5.3,155.3,11,20,0.9482017988005997
32,207.7,-214.7,12,20,0.95
33,207.7,-214.7,13,20,0.95
34,194.7,-199.7,14,20,0.95
35,-15.3,155.3,14,21,0.9482017988005997
36,-5.3,180.3,14,22,0.9482017988005997
37,-5.3,170.3,14,23,0.9482017988005997
38,-5.3,155.3,14,24,0.9482017988005997
39,-5.3,155.3,14,25,0.9482017988005997
40,-5.3,155.3,14,26,0.9482017988005997
41,-5.3,170.3,14,27,0.9482017988005997
42,194.7,-214.7,15,27,0.95
43,194.7,-189.7,16,27,0.95
44,232.7,-214.7,17,27,0.95
45,207.7,-214.7,18,27,0.95
46,232.7,-214.7,19,27,0.95
47,-5.3,155.3,19,28,0.9482017988005997
48,7.7,155.3,19,29,0.9482017988005997
49,194.7,-199.7,20,29,0.95
50,-5.3,155.3,20,30,0.9482017988005997
51,-5.3,170.3,20,31,0.9482017988005997
52,204.7,-199.7,21,31,0.95
53,232.7,-214.7,22,31,0.95
54,-5.3,155.3,22,32,0.9482017988005997
55,-5.3,155.3,22,33,0.9482017988005997
56,232.7,-214.7,23,33,0.95
57,-5.3,170.3,23,34,0.9482017988005997
58,-5.3,155.3,23,35,0.9482017988005997
59,219.7,-207.7,24,35,0.95
60,204.7,-207.7,25,35,0.95
61,-5.3,155.3,25,36,0.9482017988005997
62,207.7,-214.7,26,36,0.95
63,194.7,-199.7,27,36,0.95
64,207.7,-214.7,28,36,0.95
65,4.699999999999999,155.3,28,37,0.9482017988005997
66,204.7,-199.7,29,37,0.95
67,-5.3,155.3,29,38,0.9482017988005997
68,19.7,155.3,29,39,0.9482017988005997
69,217.7,-214.7,30,39,0.95
70,-15.3,155.3,30,40,0.9482017988005997
71,-5.3,155.3,30,41,0.9482017988005997
72,232.7,-227.7,31,41,0.95
73,7.7,162.3,31,42,0.9482017988005997
74,207.7,-214.7,32,42,0.95
75,-5.3,155.3,32,43,0.9482017988005997
76,-5.3,155.3,32,44,0.9482017988005997
77,207.7,-214.7,33,44,0.95
78,207.7,-214.7,34,44,0.95
79,204.7,-199.7,35,44,0.95
80,-5.3,155.3,35,45,0.9482017988005997
81,-5.3,155.3,35,46,0.9482017988005997
82,194.7,-189.7,36,46,0.95
83,207.7,-207.7,37,46,0.95
84,207.7,-214.7,38,46,0.95
85,207.7,-199.7,39,46,0.95
86,-15.3,170.3,39,47,0.9482017988005997
Episode,Hunter Reward,Prey Reward,Hunter Wins,Prey Wins,Epsilon
1,-15.3,155.3,0,1,0.9482017988005997
2,-5.3,155.3,0,2,0.9482017988005997
3,-5.3,155.3,0,3,0.9482017988005997
4,-5.3,155.3,0,4,0.9482017988005997
5,-5.3,155.3,0,5,0.9482017988005997
6,-5.3,155.3,0,6,0.9482017988005997
7,-5.3,155.3,0,7,0.9482017988005997
8,-5.3,170.3,0,8,0.9482017988005997
9,-5.3,155.3,0,9,0.9482017988005997
10,-5.3,170.3,0,10,0.9482017988005997
11,-15.3,155.3,0,11,0.9482017988005997
12,4.699999999999999,155.3,0,12,0.9482017988005997
13,7.7,155.3,0,13,0.9482017988005997
14,-5.3,155.3,0,14,0.9482017988005997
15,-15.3,162.3,0,15,0.9482017988005997
16,-5.3,155.3,0,16,0.9482017988005997
17,-5.3,155.3,0,17,0.9482017988005997
